country,region,sub-region,retail-and-recreation,grocery-and-pharmacy,parks,transit-stations,workplaces,residential
US,Kansas,Pottawatomie County,-37,-26,,,-31,2
US,Kansas,Pratt County,-8,-2,,,-20,
US,Kansas,Reno County,-28,-11,,-16,-25,10
US,Kansas,Rice County,-26,10,,,-27,
US,Kansas,Riley County,-58,-34,-50,,-38,20
US,Kansas,Russell County,-66,-2,,,-17,
US,Kansas,Saline County,-27,-16,-7,-11,-21,11
US,Kansas,Scott County,-53,,,,-19,
US,Kansas,Sedgwick County,-38,-16,76,-37,-34,9
US,Kansas,Seward County,-24,-1,,-11,-14,-1
US,Kansas,Shawnee County,-37,-16,55,13,-30,10
US,Kansas,Sherman County,-18,,,,,
US,Kansas,Stevens County,-62,,,,,
US,Kansas,Sumner County,-26,10,,,-30,1
US,Kansas,Thomas County,-31,,,-2,-25,
US,Kansas,Trego County,,-14,,,,
US,Kansas,Wabaunsee County,,,,,-32,
US,Kansas,Washington County,,,,,-16,
US,Kansas,Wilson County,-18,2,,,-26,
US,Kansas,Wyandotte County,-43,-10,53,-5,-33,9
US,Kentucky,Adair County,-22,-16,,,-39,
US,Kentucky,Allen County,-17,0,,,-24,
US,Kentucky,Anderson County,-26,-5,,,-27,-1
US,Kentucky,Ballard County,,,,,-24,
US,Kentucky,Barren County,-31,-9,,,-28,7
US,Kentucky,Bath County,,-9,,,-34,
US,Kentucky,Bell County,-28,-12,,,-25,
US,Kentucky,Boone County,-44,-16,53,-54,-37,9
US,Kentucky,Bourbon County,-19,-25,,,-29,
US,Kentucky,Boyd County,-44,-11,,-18,-27,15
US,Kentucky,Boyle County,-40,-15,,,-38,
US,Kentucky,Bracken County,,,,,-33,
US,Kentucky,Breathitt County,-14,,,,-33,
US,Kentucky,Breckinridge County,-7,7,,,-21,
US,Kentucky,Bullitt County,-36,-10,,-26,-35,18
US,Kentucky,Butler County,-39,4,,,-33,
US,Kentucky,Caldwell County,-20,10,,,-30,
US,Kentucky,Calloway County,-39,-10,,,-34,10
US,Kentucky,Campbell County,-42,-4,,,-38,13
US,Kentucky,Carroll County,-20,-18,,,-9,
US,Kentucky,Carter County,-26,-6,,-13,-15,
US,Kentucky,Casey County,0,5,,,-38,
US,Kentucky,Christian County,-21,-11,,-17,-36,16
US,Kentucky,Clark County,-27,-8,,,-34,12
US,Kentucky,Clay County,-2,-12,,,-24,
US,Kentucky,Clinton County,,,,,-29,
US,Kentucky,Crittenden County,-37,-2,,,-25,
US,Kentucky,Daviess County,-43,-16,39,,-28,8
US,Kentucky,Edmonson County,,,,,-35,
US,Kentucky,Estill County,-26,-11,,,-34,
US,Kentucky,Fayette County,-45,-12,57,-46,-39,10
US,Kentucky,Fleming County,-10,0,,,-39,
US,Kentucky,Floyd County,-22,-6,,,-25,
US,Kentucky,Franklin County,-32,-15,,,-36,18
US,Kentucky,Fulton County,-16,-12,,,-22,
US,Kentucky,Gallatin County,-6,58,,-89,-34,
US,Kentucky,Garrard County,-49,9,,,-34,
US,Kentucky,Grant County,-27,-10,,,-42,1
US,Kentucky,Graves County,-21,-6,,,-32,10
US,Kentucky,Grayson County,-13,8,,,-36,
US,Kentucky,Green County,,,,,-30,
US,Kentucky,Greenup County,-33,-5,,,-23,1
US,Kentucky,Hancock County,,,,,-32,
US,Kentucky,Hardin County,-39,-16,,-34,-38,8
US,Kentucky,Harlan County,-14,3,,,-4,
US,Kentucky,Harrison County,86,-49,,,-33,
US,Kentucky,Hart County,10,3,,-15,-30,
US,Kentucky,Henderson County,-21,23,,,-30,16
US,Kentucky,Henry County,-35,1,,-26,-42,
US,Kentucky,Hopkins County,-35,-18,,-37,-31,15
US,Kentucky,Jackson County,,,,,-38,
US,Kentucky,Jefferson County,-44,-10,83,-37,-38,10
US,Kentucky,Jessamine County,-38,-24,,-7,-39,17
US,Kentucky,Johnson County,-22,-17,,,-22,
US,Kentucky,Kenton County,-35,-8,108,-2,-35,10
US,Kentucky,Knott County,,,,,-35,
US,Kentucky,Knox County,-20,-15,,,-24,
US,Kentucky,Larue County,-26,-5,,,-28,
US,Kentucky,Laurel County,-36,-14,61,-22,-30,14
US,Kentucky,Lawrence County,-28,-33,,,-20,
US,Kentucky,Letcher County,-12,-11,,,-32,
US,Kentucky,Lewis County,,-14,,,-22,
US,Kentucky,Lincoln County,-12,16,,,-29,
US,Kentucky,Livingston County,,4,,,-34,
US,Kentucky,Logan County,-16,-5,,,-23,
US,Kentucky,Lyon County,-33,,,,-29,
US,Kentucky,Madison County,-40,-15,,-8,-41,8
US,Kentucky,Marion County,-12,-4,,,-34,
US,Kentucky,Marshall County,-24,7,,-16,-30,9
US,Kentucky,Mason County,-23,,,,-20,
US,Kentucky,McCracken County,-40,-13,-24,-15,-34,16
US,Kentucky,McCreary County,-21,5,,,-33,
US,Kentucky,McLean County,,,,,-27,
US,Kentucky,Meade County,-26,4,,,-29,8
US,Kentucky,Menifee County,,,,,-38,
US,Kentucky,Mercer County,-25,-9,,,-28,
US,Kentucky,Metcalfe County,,-16,,,-36,
US,Kentucky,Monroe County,-16,,,,-33,
US,Kentucky,Montgomery County,-28,-3,,-8,-23,-3
US,Kentucky,Morgan County,-59,,,,-34,
US,Kentucky,Muhlenberg County,-26,-2,,,-30,
US,Kentucky,Nelson County,-29,-15,,,-35,17
US,Kentucky,Nicholas County,,,,,-43,
US,Kentucky,Ohio County,-18,8,,-34,-27,
US,Kentucky,Oldham County,-36,-6,,,-41,24
US,Kentucky,Owen County,,,,,-41,
US,Kentucky,Pendleton County,-4,-19,,,-35,
US,Kentucky,Perry County,-30,-12,,,-18,
US,Kentucky,Pike County,-35,-12,,,-25,
US,Kentucky,Powell County,1,-4,,,-37,
US,Kentucky,Pulaski County,-34,-22,,,-36,15
US,Kentucky,Rockcastle County,-53,-21,,,-24,
US,Kentucky,Rowan County,-26,1,,,-28,
US,Kentucky,Russell County,-22,10,,,-32,
US,Kentucky,Scott County,-38,-23,,-25,-42,23
US,Kentucky,Shelby County,-38,-4,,-35,-45,18
US,Kentucky,Simpson County,-22,-8,,-25,-31,
US,Kentucky,Spencer County,-25,6,,,-40,
US,Kentucky,Taylor County,-33,-5,,,-22,
US,Kentucky,Todd County,-48,0,,,-32,
US,Kentucky,Trigg County,-27,-2,,,-35,
US,Kentucky,Trimble County,,,,,-36,
US,Kentucky,Union County,-19,-10,,,-44,
US,Kentucky,Warren County,-42,-23,-26,-22,-37,10
US,Kentucky,Washington County,-33,,,,-44,
US,Kentucky,Wayne County,-8,-21,,,-29,
US,Kentucky,Webster County,,-8,,,-25,
US,Kentucky,Whitley County,-33,3,,-4,-26,-3
US,Kentucky,Woodford County,-33,-17,,,-30,
US,Louisiana,Acadia Parish,-24,-5,,-36,-21,15
US,Louisiana,Allen Parish,-34,-19,,,-33,
US,Louisiana,Ascension Parish,-45,-21,,,-34,15
US,Louisiana,Assumption Parish,,-8,,,-36,
US,Louisiana,Avoyelles Parish,-24,-8,,,-32,-2
US,Louisiana,Beauregard Parish,-29,-10,,,-31,3
US,Louisiana,Bienville Parish,-41,-15,,,-32,
US,Louisiana,Bossier Parish,-49,-19,4,-30,-37,12
US,Louisiana,Caddo Parish,-36,-9,-14,-31,-32,10
US,Louisiana,Calcasieu Parish,-40,-19,-6,-38,-34,11
US,Louisiana,Caldwell Parish,-25,,,,-29,
US,Louisiana,Cameron Parish,,10,,,-17,
US,Louisiana,Catahoula Parish,-64,-20,,,-38,
US,Louisiana,Claiborne Parish,-49,-18,,,-31,
US,Louisiana,Concordia Parish,-23,-16,,,-20,
US,Louisiana,De Soto Parish,-13,-16,,-35,-24,
US,Louisiana,East Baton Rouge Parish,-48,-16,-26,-44,-34,12
US,Louisiana,East Feliciana Parish,-23,-9,,,-35,
US,Louisiana,Evangeline Parish,-16,-4,,,-25,
US,Louisiana,Franklin Parish,-28,-8,,,-22,
US,Louisiana,Grant Parish,,-13,,,-20,
US,Louisiana,Iberia Parish,-26,-11,-30,,-23,16
US,Louisiana,Iberville Parish,-29,-4,,-43,-30,
US,Louisiana,Jackson Parish,-19,-8,,,-30,
US,Louisiana,Jefferson Davis Parish,-40,-12,,-47,-33,-1
US,Louisiana,Jefferson Parish,-49,-20,-1,-84,-44,14
US,Louisiana,La Salle Parish,-27,-9,,,-31,
US,Louisiana,Lafayette Parish,-44,-22,15,-42,-31,11
US,Louisiana,Lafourche Parish,-23,-13,,-36,-25,12
US,Louisiana,Lincoln Parish,-53,-26,,,-38,9
US,Louisiana,Livingston Parish,-40,-12,-13,-16,-32,10
US,Louisiana,Madison Parish,-17,-8,,-37,-20,
US,Louisiana,Morehouse Parish,-24,-8,,,-23,
US,Louisiana,Natchitoches Parish,-33,-24,,,-30,6
US,Louisiana,Orleans Parish,-71,-35,-55,-59,-54,16
US,Louisiana,Ouachita Parish,-41,-15,-24,-27,-29,9
US,Louisiana,Plaquemines Parish,-39,-21,-31,,-25,
US,Louisiana,Pointe Coupee Parish,-15,-12,,,-16,
US,Louisiana,Rapides Parish,-40,-15,-2,-55,-30,10
US,Louisiana,Red River Parish,-42,,,,-26,
US,Louisiana,Richland Parish,-24,-10,,-25,-16,
US,Louisiana,Sabine Parish,-16,-6,,,-23,
US,Louisiana,St. Bernard Parish,-31,1,-21,,-35,23
US,Louisiana,St. Charles Parish,-39,-13,,-18,-35,22
US,Louisiana,St. Helena Parish,,-20,,,-35,
US,Louisiana,St. James Parish,-46,-11,,,-17,
US,Louisiana,St. John the Baptist Parish,-34,-3,-67,-51,-37,22
US,Louisiana,St. Landry Parish,-28,-16,,-40,-28,14
US,Louisiana,St. Martin Parish,-34,-14,-10,-45,-29,19
US,Louisiana,St. Mary Parish,-31,-11,,-43,-33,15
US,Louisiana,St. Tammany Parish,-45,-19,3,-21,-35,11
US,Louisiana,Tangipahoa Parish,-35,-6,-20,-17,-32,10
US,Louisiana,Terrebonne Parish,-43,-12,25,-42,-32,9
US,Louisiana,Union Parish,-22,6,,,-31,
US,Louisiana,Vermilion Parish,-21,-3,,,-29,16
US,Louisiana,Vernon Parish,-32,-21,,,-34,19
US,Louisiana,Washington Parish,-21,-1,,,-20,2
US,Louisiana,Webster Parish,-27,-19,,-19,-31,13
US,Louisiana,West Baton Rouge Parish,-42,1,,-37,-36,
US,Louisiana,West Carroll Parish,-23,-29,,,-22,
US,Louisiana,West Feliciana Parish,-54,-19,,,-45,
US,Louisiana,Winn Parish,-25,0,,,-23,
US,Maine,Androscoggin County,-49,-21,-26,,-30,10
US,Maine,Aroostook County,-28,9,-4,,-18,16
US,Maine,Cumberland County,-60,-36,-38,-67,-37,13
US,Maine,Franklin County,-53,-21,,,-32,0
US,Maine,Hancock County,-35,-1,15,,-22,17
US,Maine,Kennebec County,-42,-19,-37,-53,-28,10
US,Maine,Knox County,-35,-24,,,-30,11
US,Maine,Lincoln County,-54,-15,,,-30,6
US,Maine,Oxford County,-53,-27,-55,,-38,18
US,Maine,Penobscot County,-45,-14,4,-29,-31,9
US,Maine,Piscataquis County,-62,-8,,,-14,
US,Maine,Sagadahoc County,-48,-11,,,-34,13
US,Maine,Somerset County,-29,-15,-9,,-22,17
US,Maine,Waldo County,-44,-20,,,-27,13
US,Maine,Washington County,-42,-8,,,-24,
US,Maine,York County,-55,-23,-48,-64,-36,12
US,Maryland,Allegany County,-39,-17,-8,-32,-31,16
US,Maryland,Anne Arundel County,-49,-31,33,-76,-42,13
US,Maryland,Baltimore County,-46,-21,10,-39,-36,13
US,Maryland,Baltimore,-44,-18,12,-34,-37,12
US,Maryland,Calvert County,-37,-33,33,,-39,23
US,Maryland,Caroline County,-28,-21,,,-28,15
US,Maryland,Carroll County,-43,-35,10,-50,-34,12
US,Maryland,Cecil County,-34,-32,-34,-57,-30,10
US,Maryland,Charles County,-41,-18,-42,-28,-39,13
US,Maryland,Dorchester County,-29,-6,,,-28,12
US,Maryland,Frederick County,-49,-30,19,-35,-38,13
US,Maryland,Garrett County,-37,-20,,-17,-37,-1
US,Maryland,Harford County,-43,-30,50,-62,-32,12
US,Maryland,Howard County,-57,-45,7,-30,-47,16
US,Maryland,Kent County,-43,-14,,,-33,
US,Maryland,Montgomery County,-51,-30,44,-50,-45,16
US,Maryland,Prince George's County,-40,-26,37,-50,-40,14
US,Maryland,Queen Anne's County,-57,-33,-36,,-40,21
US,Maryland,Somerset County,-41,-7,,,-36,
US,Maryland,St. Mary's County,-40,-19,32,,-34,14
US,Maryland,Talbot County,-42,-23,,,-38,8
US,Maryland,Washington County,-42,-20,28,-22,-32,10
US,Maryland,Wicomico County,-46,-23,,-58,-34,10
US,Maryland,Worcester County,-47,-21,-24,,-39,16
US,Massachusetts,Barnstable County,-57,-28,-38,-67,-41,13
US,Massachusetts,Berkshire County,-49,-31,-36,-68,-35,12
US,Massachusetts,Bristol County,-54,-32,-44,-54,-35,13
US,Massachusetts,Dukes County,-79,-41,,-53,-51,
US,Massachusetts,Essex County,-58,-39,-53,-60,-44,16
US,Massachusetts,Franklin County,-58,-40,-37,-39,-37,22
US,Massachusetts,Hampden County,-54,-28,-46,-56,-37,12
US,Massachusetts,Hampshire County,-60,-39,-45,-65,-43,15
US,Massachusetts,Middlesex County,-64,-41,-62,-73,-46,18
US,Massachusetts,Nantucket County,-70,-38,,,-54,
US,Massachusetts,Norfolk County,-63,-37,-57,-61,-44,17
US,Massachusetts,Plymouth County,-57,-32,-34,-54,-37,14
US,Massachusetts,Suffolk County,-71,-41,-68,-79,-51,18
US,Massachusetts,Worcester County,-55,-36,-60,-66,-38,14
US,Michigan,Alcona County,1,,,,-45,
US,Michigan,Alger County,-79,-57,-54,,-56,
US,Michigan,Allegan County,-49,-17,-21,-36,-39,12
US,Michigan,Alpena County,-43,-17,,,-31,3
US,Michigan,Antrim County,-75,-20,,,-43,
US,Michigan,Arenac County,-41,-9,,,-36,
US,Michigan,Baraga County,,-44,,,-57,
US,Michigan,Barry County,-55,-9,,,-40,25
US,Michigan,Bay County,-55,-25,-23,,-37,11
US,Michigan,Benzie County,-44,-7,,,-39,
US,Michigan,Berrien County,-50,-22,31,-37,-38,11
US,Michigan,Branch County,-52,-36,,,-28,22
US,Michigan,Calhoun County,-53,-24,-13,-30,-42,11
US,Michigan,Cass County,-55,-15,,,-38,22
US,Michigan,Charlevoix County,-54,-20,-34,,-40,
US,Michigan,Cheboygan County,-45,-14,,,-37,
US,Michigan,Chippewa County,-63,-3,-47,,-44,2
US,Michigan,Clare County,-61,-17,,,-35,9
US,Michigan,Clinton County,-59,-36,,-54,-38,28
US,Michigan,Crawford County,-55,-40,,,-39,
US,Michigan,Delta County,-47,-24,,,-29,9
US,Michigan,Dickinson County,-38,-13,,,-27,0
US,Michigan,Eaton County,-59,-35,,,-38,12
US,Michigan,Emmet County,-60,-32,,,-49,1
US,Michigan,Genesee County,-55,-25,6,-48,-45,12
US,Michigan,Gladwin County,-77,-6,,,-41,0
US,Michigan,Gogebic County,-53,-35,,,-45,
US,Michigan,Grand Traverse County,-60,-30,-8,-69,-43,15
US,Michigan,Gratiot County,-50,-31,,,-32,21
US,Michigan,Hillsdale County,-48,-22,,,-38,24
US,Michigan,Houghton County,-61,-27,-59,,-44,3
US,Michigan,Huron County,-42,-5,,,-29,0
US,Michigan,Ingham County,-64,-31,13,-63,-41,14
US,Michigan,Ionia County,-52,-24,,-47,-39,24
US,Michigan,Iosco County,-42,-5,,,-39,
US,Michigan,Iron County,-58,-14,,,-39,
US,Michigan,Isabella County,-62,-36,,,-47,24
US,Michigan,Jackson County,-54,-23,-7,-41,-42,11
US,Michigan,Kalamazoo County,-61,-34,15,-56,-40,12
US,Michigan,Kalkaska County,-73,-11,,,-42,
US,Michigan,Kent County,-65,-31,-26,-68,-44,13
US,Michigan,Lake County,-56,5,,,-47,
US,Michigan,Lapeer County,-52,-30,-38,,-46,27
US,Michigan,Leelanau County,-67,-12,,,-49,
US,Michigan,Lenawee County,-55,-23,,,-42,11
US,Michigan,Livingston County,-65,-29,11,,-46,12
US,Michigan,Luce County,-67,,,,,
US,Michigan,Mackinac County,-71,-39,,,-52,
US,Michigan,Macomb County,-59,-30,106,-33,-48,13
US,Michigan,Manistee County,-71,-17,,,-40,
US,Michigan,Marquette County,-61,-39,-40,,-37,21
US,Michigan,Mason County,-48,-24,,,-43,7
US,Michigan,Mecosta County,-46,-18,,,-37,20
US,Michigan,Menominee County,-47,-35,,,-23,
US,Michigan,Midland County,-55,-27,-15,,-40,27
US,Michigan,Missaukee County,-44,,,,-39,
US,Michigan,Monroe County,-54,-30,52,-21,-34,11
US,Michigan,Montcalm County,-46,-17,,,-29,22
US,Michigan,Montmorency County,-54,-14,,,-40,
US,Michigan,Muskegon County,-52,-22,15,,-40,11
US,Michigan,Newaygo County,-49,-13,40,,-34,23
US,Michigan,Oakland County,-65,-35,31,-50,-50,14
US,Michigan,Oceana County,-69,-5,-26,,-35,-1
US,Michigan,Ogemaw County,-47,-14,,,-45,
US,Michigan,Ontonagon County,-46,,,,,
US,Michigan,Osceola County,-66,-5,,,-42,
US,Michigan,Oscoda County,-74,-12,,,-43,
US,Michigan,Otsego County,-58,-36,,,-41,-1
US,Michigan,Ottawa County,-57,-32,33,-20,-48,13
US,Michigan,Presque Isle County,-63,-19,,,-38,
US,Michigan,Roscommon County,-45,-9,-38,,-43,
US,Michigan,Saginaw County,-60,-24,-10,-61,-43,12
US,Michigan,Sanilac County,-38,-8,,,-39,12
US,Michigan,Schoolcraft County,-80,-37,-51,,-44,
US,Michigan,Shiawassee County,-51,-25,,,-34,24
US,Michigan,St. Clair County,-50,-30,38,-32,-37,11
US,Michigan,St. Joseph County,-44,-31,,,-39,23
US,Michigan,Tuscola County,-47,-19,,,-37,23
US,Michigan,Van Buren County,-43,-24,-9,,-30,23
US,Michigan,Washtenaw County,-65,-48,53,-49,-53,15
US,Michigan,Wayne County,-57,-25,24,-61,-45,13
US,Michigan,Wexford County,-52,-21,,,-37,12
US,Minnesota,Aitkin County,-63,-46,-65,,-41,
US,Minnesota,Anoka County,-55,-34,12,-45,-39,15
US,Minnesota,Becker County,-51,-21,,,-35,16
US,Minnesota,Beltrami County,-52,-29,4,,-36,18
US,Minnesota,Benton County,-58,-33,,,-31,18
US,Minnesota,Big Stone County,,,,,-35,
US,Minnesota,Blue Earth County,-65,-38,-40,,-35,20
US,Minnesota,Brown County,-31,-39,,,-19,9
US,Minnesota,Carlton County,-57,-45,,,-26,11
US,Minnesota,Carver County,-53,-39,-41,,-46,24
US,Minnesota,Cass County,-67,-22,-18,,-45,0
US,Minnesota,Chippewa County,-31,,,,-25,
US,Minnesota,Chisago County,-72,-41,-33,,-35,20
US,Minnesota,Clay County,-44,-25,,,-34,20
US,Minnesota,Clearwater County,-35,-34,,,-38,
US,Minnesota,Cook County,-78,-47,,,-46,
US,Minnesota,Cottonwood County,-74,,,,-24,
US,Minnesota,Crow Wing County,-55,-31,-33,,-37,16
US,Minnesota,Dakota County,-57,-37,-16,-43,-41,15
US,Minnesota,Dodge County,-71,-35,,,-30,4
US,Minnesota,Douglas County,-56,-38,-47,-20,-35,17
US,Minnesota,Faribault County,-59,-31,,,-18,
US,Minnesota,Fillmore County,-74,-25,,,-28,
US,Minnesota,Freeborn County,-47,-29,,-20,-32,15
US,Minnesota,Goodhue County,-49,-38,-20,,-39,18
US,Minnesota,Grant County,,,,,-23,
US,Minnesota,Hennepin County,-64,-37,-17,-74,-44,16
US,Minnesota,Houston County,-85,-30,,,-28,
US,Minnesota,Hubbard County,-45,-32,,,-44,
US,Minnesota,Isanti County,-53,-40,-36,,-32,17
US,Minnesota,Itasca County,-54,-29,,,-26,17
US,Minnesota,Jackson County,-77,,,,-27,
US,Minnesota,Kanabec County,-59,-39,,,-38,
US,Minnesota,Kandiyohi County,-51,-25,,,-29,16
US,Minnesota,Koochiching County,-44,-32,,,-29,
US,Minnesota,Lac qui Parle County,,,,,-20,
US,Minnesota,Lake County,-81,-48,-50,,-31,
US,Minnesota,Lake of the Woods County,-71,,,,,
US,Minnesota,Le Sueur County,-22,-22,,,-33,17
US,Minnesota,Lincoln County,,,,,-26,
US,Minnesota,Lyon County,-51,-33,,,-25,4
US,Minnesota,Mahnomen County,,,,,-52,
US,Minnesota,Marshall County,,,,,-29,
US,Minnesota,Martin County,-55,-27,,,-26,
US,Minnesota,McLeod County,-49,-31,,,-25,16
US,Minnesota,Meeker County,-40,-49,,,-32,3
US,Minnesota,Mille Lacs County,-49,-30,,,-39,11
US,Minnesota,Morrison County,-49,-37,-61,,-27,13
US,Minnesota,Mower County,-48,-37,,,-25,18
US,Minnesota,Murray County,-35,,,,-22,
US,Minnesota,Nicollet County,-64,-43,,,-33,20
US,Minnesota,Nobles County,-49,-20,,-45,-22,
US,Minnesota,Norman County,,,,,-23,
US,Minnesota,Olmsted County,-62,-35,-13,-57,-40,15
US,Minnesota,Otter Tail County,-45,-15,-2,,-30,15
US,Minnesota,Pennington County,-39,-21,,,-40,
US,Minnesota,Pine County,-56,-58,-47,,-53,10
US,Minnesota,Pipestone County,-64,-20,,,-26,
US,Minnesota,Polk County,-55,-28,,,-29,15
US,Minnesota,Pope County,-83,,,,-33,
US,Minnesota,Ramsey County,-64,-34,-29,-43,-42,15
US,Minnesota,Redwood County,-49,-2,,,-38,
US,Minnesota,Renville County,-50,,,,-22,
US,Minnesota,Rice County,-51,-28,-48,-43,-39,18
US,Minnesota,Rock County,-65,,,,-26,
US,Minnesota,Roseau County,-73,-26,,,-49,
US,Minnesota,Scott County,-55,-41,-19,,-42,15
US,Minnesota,Sherburne County,-50,-37,-42,,-38,20
US,Minnesota,Sibley County,-32,,,,-18,
US,Minnesota,St. Louis County,-64,-41,-35,-56,-37,14
US,Minnesota,Stearns County,-61,-37,-53,-62,-36,14
US,Minnesota,Steele County,-53,-27,-60,-44,-33,19
US,Minnesota,Stevens County,-63,-26,,,-28,
US,Minnesota,Swift County,-29,-27,,,-23,
US,Minnesota,Todd County,-46,-20,,,-28,3
US,Minnesota,Wabasha County,-75,-25,,,-28,
US,Minnesota,Wadena County,-46,-27,,,-28,
US,Minnesota,Waseca County,-40,-45,,,-21,
US,Minnesota,Washington County,-55,-39,-8,-38,-40,16
US,Minnesota,Watonwan County,-57,,,,-7,
US,Minnesota,Wilkin County,,,,,-28,
US,Minnesota,Winona County,-52,-35,,-49,-23,20
US,Minnesota,Wright County,-55,-37,-25,,-35,15
US,Minnesota,Yellow Medicine County,-23,,,,-26,
US,Mississippi,Adams County,-33,-10,,,-34,
US,Mississippi,Alcorn County,-32,-9,,,-28,1
US,Mississippi,Amite County,-34,-13,,,-33,
US,Mississippi,Attala County,-10,11,,,-20,
US,Mississippi,Benton County,,,,,-23,
US,Mississippi,Bolivar County,-15,1,,,-24,
US,Mississippi,Calhoun County,-30,2,,,-32,
US,Mississippi,Carroll County,,,,,-33,
US,Mississippi,Chickasaw County,-18,-16,,,-35,
US,Mississippi,Claiborne County,-22,,,,-9,
US,Mississippi,Clarke County,-31,-10,,,-25,
US,Mississippi,Clay County,-24,8,,-34,-33,
US,Mississippi,Coahoma County,-19,18,,,-43,
US,Mississippi,Copiah County,-19,-2,,,-15,
US,Mississippi,Covington County,-32,-7,,,-29,
US,Mississippi,DeSoto County,-37,-7,50,-25,-34,10
US,Mississippi,Forrest County,-32,-8,,-27,-30,13
US,Mississippi,George County,-28,9,,,-28,
US,Mississippi,Greene County,,-10,,,-23,
US,Mississippi,Grenada County,-14,10,,,-15,
US,Mississippi,Hancock County,-22,-7,,,-40,16
US,Mississippi,Harrison County,-39,-13,51,-41,-44,10
US,Mississippi,Hinds County,-28,0,10,-9,-29,9
US,Mississippi,Holmes County,2,13,,,-30,
US,Mississippi,Humphreys County,,-9,,,-30,
US,Mississippi,Itawamba County,-33,14,,,-28,
US,Mississippi,Jackson County,-28,-9,19,-38,-38,10
US,Mississippi,Jasper County,-22,-3,,,-18,
US,Mississippi,Jefferson Davis County,,6,,,-34,
US,Mississippi,Jones County,-24,1,,,-28,11
US,Mississippi,Kemper County,,,,,-26,
US,Mississippi,Lafayette County,-46,-21,,,-35,10
US,Mississippi,Lamar County,-52,-11,,-44,-25,14
US,Mississippi,Lauderdale County,-38,-14,8,-29,-35,14
US,Mississippi,Lawrence County,,4,,,-30,
US,Mississippi,Leake County,-21,-23,,,-26,
US,Mississippi,Lee County,-46,-12,,-26,-33,19
US,Mississippi,Leflore County,-7,6,,,-15,
US,Mississippi,Lincoln County,-22,-13,,,-25,
US,Mississippi,Lowndes County,-33,8,,-39,-28,13
US,Mississippi,Madison County,-33,-11,45,-45,-37,21
US,Mississippi,Marion County,-17,-7,,,-15,
US,Mississippi,Marshall County,-14,4,,,-22,5
US,Mississippi,Monroe County,-46,-7,,,-31,0
US,Mississippi,Montgomery County,-50,-23,,-22,-17,
US,Mississippi,Neshoba County,-23,-7,,,-27,
US,Mississippi,Newton County,-19,-7,,,-16,
US,Mississippi,Noxubee County,-5,10,,,-19,
US,Mississippi,Oktibbeha County,-44,-20,,,-32,2
US,Mississippi,Panola County,-8,7,,-28,-22,-3
US,Mississippi,Pearl River County,-18,0,,-24,-28,14
US,Mississippi,Perry County,,-4,-22,,-27,
US,Mississippi,Pike County,-27,-9,,-28,-19,-2
US,Mississippi,Pontotoc County,-28,-3,,,-29,-1
US,Mississippi,Prentiss County,-23,-3,,,-25,
US,Mississippi,Quitman County,,,,,-32,
US,Mississippi,Rankin County,-42,-12,-9,-42,-27,10
US,Mississippi,Scott County,-27,-1,,-9,-17,
US,Mississippi,Simpson County,-25,-3,,-40,-20,
US,Mississippi,Smith County,,7,,,-21,
US,Mississippi,Stone County,-18,-22,,,-28,
US,Mississippi,Sunflower County,-9,25,,-20,-10,
US,Mississippi,Tallahatchie County,,-6,,,-31,
US,Mississippi,Tate County,-24,-1,,-8,-28,
US,Mississippi,Tippah County,-26,-17,,,-25,
US,Mississippi,Tishomingo County,-2,8,,,-22,
US,Mississippi,Tunica County,-50,16,,,-44,
US,Mississippi,Union County,-25,-8,,-20,-32,
US,Mississippi,Walthall County,-47,2,,,-28,
US,Mississippi,Warren County,-26,-11,-20,,-28,15
US,Mississippi,Washington County,-22,5,,,-18,11
US,Mississippi,Wayne County,-25,11,,,-21,
US,Mississippi,Webster County,-41,-9,,,-33,
US,Mississippi,Wilkinson County,,-8,,,-28,
US,Mississippi,Winston County,-6,-6,,,-23,
US,Mississippi,Yalobusha County,,-2,,,-28,
US,Mississippi,Yazoo County,-19,11,,,-20,
US,Missouri,Adair County,-40,55,,,-20,-1
US,Missouri,Andrew County,-63,5,,,-32,
US,Missouri,Audrain County,-29,-9,,,-20,6
US,Missouri,Barry County,-18,19,,,-26,9
US,Missouri,Barton County,-18,,,,-25,
US,Missouri,Bates County,-20,15,,,-18,
US,Missouri,Benton County,-32,128,,,-24,
US,Missouri,Bollinger County,-50,-18,,,-35,
US,Missouri,Boone County,-55,-18,65,-58,-36,10
US,Missouri,Buchanan County,-29,2,,-5,-22,7
US,Missouri,Butler County,-23,-5,,,-20,10
US,Missouri,Caldwell County,,,,,-20,
US,Missouri,Callaway County,-36,-1,,,-20,18
US,Missouri,Camden County,-28,16,,,-36,13
US,Missouri,Cape Girardeau County,-43,-20,0,,-33,12
US,Missouri,Carroll County,-28,,,,-19,
US,Missouri,Cass County,-26,-17,29,-14,-33,9
US,Missouri,Cedar County,-15,-5,,,-28,
US,Missouri,Chariton County,,,,,-30,
US,Missouri,Christian County,-30,-10,-19,,-33,13
US,Missouri,Clark County,,-10,,-46,-4,
US,Missouri,Clay County,-32,-17,214,-30,-38,10
US,Missouri,Clinton County,-76,-8,,,-31,
US,Missouri,Cole County,-44,-23,,,-29,19
US,Missouri,Cooper County,-27,-19,,-15,-20,
US,Missouri,Crawford County,-20,-7,,-7,-17,
